#Cluster          RA        DEC      R_Sun    DR     R_GC    DR   N_RV   N_PM    Mass         DM         V     DV   M/L_V   DM/L    rc     rh,l     rh,m     rt    rho_c  rho_h,m   sig_c   sig_h,m lg Trh  lg Mini  T_Diss  M_Low  M_High       MF          sig0    vesc    etac   etah
# Name                               [kpc]  [kpc]   [kpc]  [kpc]                [Msun]      [Msun]        [mag]      [Msun/Lsun]   [pc]    [pc]     [pc]    [pc]  [Ms/pc3][Ms/pc3] [Ms/pc2] [Ms/pc2] [yr]   [Msun]   [Gyr]  [Msun]  [Msun]      Slope      [km/s]  [km/s]               
#  (1)            (2)       (3)       (4)     (5)    (6)     (7)  (8)    (9)     (10)        (11)      (12)   (13)   (14)   (15)   (16)    (17)     (18)    (19)     (20)    (21)    (22)    (23)    (24)    (25)     (26)   (27)    (28)    (30)    (32)    (33)    (34)    (35)   (36)
Gran_3         256.25600  -35.49600  11.47   0.75    3.76    0.66     8     12  3.45e+04          0    12.6      0   1.80      0   3.73    7.04    10.09    30.21    1.26    0.61    2.24    1.84    9.40    5.43      4.3  99.90   99.90   -0.58 +- 0.30     1.7     6.1   -0.31  -0.10    
Patchick_126   256.41083  -47.34222   8.00   0.50    2.81    0.06     7      0  5.39e+03   3.55e+03   14.42   0.30   2.53   1.81   0.13    1.12     1.53    12.86    4.30    2.25    3.83    2.64    7.53    5.38      0.5  99.90   99.90    0.51 +- 0.30     1.9     7.7   -0.40  -0.11    
NGC_6287       256.28890  -22.70801   7.93   0.37    1.57    0.04     8    300  1.30e+05   1.60e+04    9.40   0.07   2.52   0.35   0.32    1.94     2.81    22.61    6.01    2.84    4.97    3.49    8.71    6.00      4.4   0.36    0.76   -0.57 +- 0.16     6.8    26.8   -0.35  -0.12    
NGC_6293       257.54250  -26.58208   9.19   0.28    1.60    0.18   412    140  1.42e+05   1.16e+04    8.40   0.11   1.77   0.23   0.06    2.21     3.18    24.19    6.66    2.73    5.54    3.43    8.83    6.32      2.6   0.24    0.78   -0.50 +- 0.20     7.5    27.4   -0.38  -0.13    
Gran_2         257.89000  -24.84900  15.84   1.55    7.85    1.48     1     28  4.20e+04          0    12.6      0   1.80      0   2.84    8.78    12.29    55.30    1.50    0.47    2.38    1.77    9.54    5.30      7.7  99.90   99.90   -0.70 +- 0.30     1.6     6.3   -0.34  -0.06    
NGC_6304       258.63440  -29.46203   6.15   0.15    2.19    0.13   205   1007  1.03e+05   3.56e+03    8.18   0.07   1.29   0.09   0.39    1.83     3.05    27.27    4.32    2.71    4.30    3.35    8.67    5.79      5.2   0.43    0.89   -0.40 +- 0.14     5.7    22.8   -0.36  -0.09
NGC_6316       259.15542  -28.14011  11.15   0.39    3.16    0.36    74     80  3.47e+05   4.37e+04    9.01   0.17   2.83   0.57   0.74    3.15     6.08    47.48    4.01    2.28    4.27    3.26    9.46    6.18     10.2   0.57    0.84   -0.61 +- 0.32     7.6    30.3   -0.35  -0.05    
NGC_6325       259.49633  -23.76768   7.53   0.32    1.28    0.13    45   1095  6.19e+04   2.13e+03   10.90   0.04   2.20   0.11   0.11    1.72     2.38    20.42    5.29    2.74    4.75    3.32    8.41    5.99      1.6   0.50    0.80   -0.30 +- 0.30     5.3    20.6   -0.36  -0.12    
NGC_6333       259.79909  -18.51626   8.30   0.14    1.73    0.02    51    576  3.08e+05   2.32e+04    7.65   0.04   2.04   0.17   0.81    2.74     3.81    33.26    3.99    2.82    4.31    3.61    9.11    6.03     13.9   0.36    0.78   -0.39 +- 0.21     8.6    32.4   -0.33  -0.11    
NGC_6341       259.28076   43.13594   8.50   0.07    9.85    0.04   397   3338  2.73e+05   4.74e+03    6.51   0.03   1.68   0.05   0.29    2.03     3.59   113.00    6.30    2.85    5.32    3.60    9.10    5.98     13.9   0.15    0.77   -0.83 +- 0.12     9.1    36.4   -0.42  -0.12
NGC_6342       260.29157  -19.58766   8.01   0.23    1.54    0.02    52   1719  3.77e+04   9.99e+02    9.86   0.07   1.63   0.11   0.17    1.48     1.86    14.97    4.82    2.85    4.47    3.32    8.08    5.99      1.0   0.41    0.82    0.65 +- 0.17     4.6    18.4   -0.37  -0.12    
NGC_6352       261.37128  -48.42217   5.54   0.07    3.51    0.04    67   1394  6.02e+04   2.12e+03    8.06   0.04   2.05   0.10   0.85    3.23     4.80    31.54    3.14    1.81    3.49    2.71    8.98    5.49      6.4   0.23    0.83   -0.37 +- 0.16     3.4    13.2   -0.37  -0.11    
NGC_6355       260.99353  -26.35283   8.65   0.22    0.93    0.12    48   1822  9.91e+04   2.57e+03   10.04   0.07   1.61   0.11   0.20    2.36     3.34    14.57    4.86    2.50    4.56    3.23    8.79    6.11      2.2   0.50    0.78   -0.50 +- 0.19     5.6    21.6   -0.37  -0.13    
NGC_6356       260.89580  -17.81303  15.66   0.92    7.86    0.86    54     98  5.65e+05   8.01e+04    8.32   0.07   2.59   0.40   1.53    3.99     7.73   118.20    3.38    2.19    3.98    3.28    9.78    6.09     62.3  99.90   99.90   -0.96 +- 0.30     8.1    31.1   -0.30  -0.06    
IC_1257        261.78543   -7.09306  26.59   1.43   19.27    1.36     5      0  1.77e+04          0    13.8      0   1.80      0   0.99    4.13     5.53    59.77    2.42    1.10    2.83    2.05    8.82    5.66      1.0  99.90   99.90    0.12 +- 0.30     1.7     6.7   -0.38  -0.13    
Ter_2          261.88792  -30.80233   7.75   0.33    0.74    0.16    11     70  8.05e+04   2.31e+04   13.11   0.10   1.35   0.41   0.46    2.40     4.31    12.45    3.90    2.10    3.98    2.93    9.01    6.77      0.3   0.71    0.95   -0.96 +- 0.46     4.3    17.4   -0.40  -0.13    
Ter_4          262.66251  -31.59553   7.59   0.31    0.82    0.20     7     48  1.81e+05   5.29e+04   13.43   0.27   2.55   0.98   0.39    3.27     5.67    15.70    4.30    2.07    4.29    3.04    9.38    6.72      0.9   0.53    0.79   -1.58 +- 0.30     5.7    23.1   -0.40  -0.11    
HP_1           262.77167  -29.98167   7.00   0.14    1.26    0.13    28    116  1.37e+05   1.91e+04   11.07   0.11   3.64   0.63   0.99    3.10     4.19    18.56    3.41    2.35    3.82    3.18    9.01    6.15      2.9   0.45    0.82   -0.02 +- 0.28     5.4    20.3   -0.33  -0.13    
FSR_1758       262.80000  -39.80800  11.09   0.74    3.46    0.63    39    304  4.91e+05   5.14e+04    9.14   0.06   2.44   0.29  10.12   12.51    16.23   110.00    1.37    1.14    2.77    2.60   10.09    6.03     62.2   0.45    0.79    0.72 +- 0.24     5.2    16.1   -0.05  -0.04    
NGC_6362       262.97910  -67.04833   7.65   0.07    5.20    0.01   572   2042  1.17e+05   3.02e+03    7.45   0.04   1.73   0.08   2.90    5.13     7.24    50.47    2.15    1.57    3.02    2.65    9.39    5.65     11.5   0.21    0.80   -0.49 +- 0.15     3.7    13.1   -0.23  -0.10
NGC_6366       261.93436   -5.07986   3.44   0.05    5.23    0.04   232   1455  4.66e+04   1.91e+03    8.85   0.04   2.12   0.12   2.34    3.78     6.42    37.85    1.99    1.32    2.77    2.37    9.14    5.47      4.7   0.39    0.83   -0.32 +- 0.17     2.5     9.1   -0.28  -0.12
Liller_1       263.35233  -33.38956   8.06   0.34    0.74    0.07    82      0  1.01e+06   1.62e+05   15.73   0.20   3.01   0.74   0.18    1.30     2.42    38.87    6.20    4.01    5.81    4.54    8.95    7.20      2.0  99.90   99.90    0.21 +- 0.30    19.6    87.9   -0.38  -0.06    
NGC_6380       263.61861  -39.06953   9.61   0.30    2.15    0.21    70   5783  3.41e+05   4.82e+03   10.70   0.12   2.96   0.33   0.95    3.14     4.42    40.24    3.85    2.68    4.22    3.53    9.24    6.56      2.8   0.53    0.83   -0.54 +- 0.17     8.3    31.8   -0.33  -0.09    
Ter_1          263.94667  -30.48178   5.67   0.17    2.52    0.17    29    140  1.99e+05   2.48e+04   12.40   0.12   2.31   0.38   0.36    1.47     1.86    38.22    4.80    3.57    4.78    4.04    8.44    6.19      3.8   0.66    0.82    0.17 +- 0.34     9.8    37.9   -0.36  -0.12    
Ton_2          264.04200  -38.55610   6.99   0.34    1.76    0.19    23    172  4.31e+04   9.14e+03   11.66   0.06   0.94   0.21   0.99    2.86     4.26    21.55    2.92    1.82    3.32    2.69    8.88    5.63      2.8   0.45    0.82   -1.48 +- 0.25     3.0    11.6   -0.38  -0.13    
NGC_6388       264.07178  -44.73550  11.17   0.16    3.99    0.13  6008  12692  1.31e+06   1.14e+04    6.82   0.03   2.30   0.07   0.48    2.61     5.37    96.85    5.18    3.00    5.18    3.93    9.64    6.48     40.1   0.40    0.84   -1.01 +- 0.18    16.3    60.0   -0.16  -0.00
NGC_6397       265.17538  -53.67434   2.48   0.02    6.01    0.02  3434   4417  8.24e+04   1.35e+03    5.45   0.04   1.42   0.06   0.14    2.17     3.16    49.64    5.19    2.50    4.72    3.20    8.71    5.57      8.9   0.34    0.78   -0.32 +- 0.13     5.4    21.5   -0.39  -0.11
NGC_6401       264.65219  -23.90960   7.44   0.22    1.03    0.14    25   3590  1.21e+05   2.06e+03    9.97   0.05   1.83   0.09   0.36    2.31     3.17    15.81    4.40    2.66    4.36    3.37    8.80    6.32      1.8   0.40    0.81   -0.40 +- 0.17     6.0    23.6   -0.36  -0.13    
NGC_6402       264.40065   -3.24592   9.14   0.25    3.97    0.11   302    720  5.95e+05   2.94e+04    7.87   0.06   2.13   0.16   2.00    3.54     4.92    73.95    3.35    2.78    4.05    3.69    9.42    6.36     10.8   0.38    0.81   -0.81 +- 0.15    10.2    35.6   -0.28  -0.12
Pal_6          265.92581  -26.22499   7.05   0.45    1.19    0.40    23     80  8.56e+04   1.90e+04   11.60   0.06   1.39   0.32   0.61    2.27     2.91    10.43    3.78    2.61    3.98    3.30    8.63    6.51      0.7  99.90   99.90    0.38 +- 0.30     5.1    19.7   -0.37  -0.11    
NGC_6426       266.22796    3.17014  20.71   0.35   14.45    0.32    33    100  7.31e+04   2.44e+04   11.13   0.04   2.03   0.68   2.62    5.20     7.88    88.69    2.00    1.25    2.83    2.37    9.40    5.41     14.3   0.24    0.78   -1.07 +- 0.14     2.8    10.3   -0.33  -0.11    
Djor_1         266.86958  -33.06639   9.88   0.65    1.82    0.59     8    129  8.43e+04   1.36e+04   13.08   0.12   1.93   0.38   0.80    4.10     5.62    25.36    3.32    1.76    3.62    2.72    9.12    5.77      4.7   0.57    0.77   -0.31 +- 0.28     3.8    14.8   -0.37  -0.10    
Ter_5          267.02020  -24.77906   6.62   0.15    1.65    0.13   336    112  1.09e+06   7.95e+04   12.36   0.08   2.95   0.31   0.67    1.77     4.03    51.26    4.72    3.35    4.95    4.14    9.43    6.72      7.5   0.71    0.88   -1.35 +- 0.28    15.6    57.5   -0.09  -0.02
NGC_6440       267.22017  -20.36042   8.25   0.24    1.23    0.03   220    149  5.69e+05   4.53e+04    8.97   0.13   1.81   0.26   0.37    1.32     2.80    33.88    5.10    3.49    5.09    4.14    9.01    6.79      3.0   0.52    0.85   -0.34 +- 0.21    14.0    55.6   -0.38  -0.10
Gran_5         267.22800  -24.17000   4.91   0.31    3.31    0.29     2     24  2.29e+04   9.99e+03   12.11   0.20   1.88   0.89   0.43    1.73     2.20    21.51    3.64    2.41    3.69    2.96    8.10    6.35      0.2  99.90   99.90    0.54 +- 0.30     3.1    11.8   -0.36  -0.15    
NGC_6441       267.55441  -37.05145  12.73   0.16    4.78    0.15  5533   5975  1.39e+06   1.47e+04    7.12   0.08   1.86   0.14   0.64    2.14     4.30   108.31    4.95    3.33    5.10    4.16    9.50    6.48     57.0   0.49    0.81   -0.88 +- 0.21    17.6    69.4   -0.33  -0.05
Ter_6          267.69325  -31.27539   7.27   0.35    0.97    0.31    14     52  1.00e+05   1.03e+03   14.47   0.07   1.71   0.11   0.39    1.05     1.91    13.89    4.44    3.24    4.44    3.72    8.32    6.66      0.5   0.64    0.85    0.73 +- 0.29     6.8    26.4   -0.35  -0.09    
NGC_6453       267.71551  -34.59848  10.07   0.22    2.10    0.19    21   2444  1.68e+05   3.69e+03    9.19   0.13   1.49   0.18   0.13    2.76     3.87    32.92    5.49    2.54    4.95    3.33    9.00    6.31      2.5   0.43    0.78   -0.61 +- 0.19     7.1    27.9   -0.38  -0.11    
UKS_1          268.61331  -24.14528  15.58   0.56    7.47    0.54     5      0  7.99e+04          0    17.3      0   1.80      0   1.02    2.99     4.07    48.03    3.15    2.15    3.58    2.98    8.90    6.19      1.5  99.90   99.90    0.03 +- 0.30     4.1    15.7   -0.33  -0.13    
VVV-CL001      268.67708  -24.01472   8.08   1.48    0.76    0.68    53     18  1.54e+05   3.06e+04   14.20   0.50   4.48   2.31   0.56    2.34     3.23    36.42    4.07    2.74    4.24    3.46    8.86    6.16      4.0  99.90   99.90   -0.21 +- 0.30     6.5    25.9   -0.38  -0.13    
Gran_1         269.65100  -32.02000   8.27   0.67    0.60    0.25     8     24  2.61e+04          0    12.4      0   1.80      0   1.37    5.72     7.79    19.05    2.18    0.85    2.71    1.94    9.14    5.64      1.5  99.90   99.90   -0.10 +- 0.30     1.8     6.8   -0.35  -0.09    
NGC_6496       269.76535  -44.26595   9.64   0.15    2.81    0.09   203    585  7.44e+04   7.40e+03    8.65   0.09   1.76   0.23   2.55    4.26     7.01    29.12    2.08    1.41    2.90    2.48    9.26    5.54      7.4   0.31    0.82   -0.25 +- 0.16     3.0    10.8   -0.24  -0.10
Ter_9          270.41167  -26.83972   5.77   0.34    2.46    0.33   130     70  1.37e+05   1.62e+04   12.73   0.13   3.67   0.62   0.28    1.67     2.58    31.61    4.84    2.98    4.66    3.59    8.67    6.33      1.7   0.62    0.80   -0.96 +- 0.28     7.3    29.1   -0.39  -0.11    
Djor_2         270.45438  -27.82582   8.76   0.18    0.80    0.13    24     52  1.34e+05   2.37e+04   10.70   0.11   3.89   0.79   1.31    4.64     6.48    15.43    2.93    1.80    3.49    2.83    9.31    6.22      2.2   0.59    0.78   -1.54 +- 0.27     3.9    15.4   -0.40  -0.08    
NGC_6517       270.46075   -8.95878   9.23   0.56    3.24    0.26    27    354  2.16e+05   2.43e+04   10.69   0.05   2.60   0.32   0.14    1.70     2.88    47.36    5.63    3.04    5.16    3.70    8.87    6.29      3.1   0.54    0.79   -1.38 +- 0.19     9.2    37.3   -0.41  -0.11    
Ter_10         270.74083  -26.06694  10.21   0.40    2.17    0.37    12     58  3.19e+05   9.79e+04   14.73   0.10   5.84   1.87   0.30    3.46     4.67    41.55    4.92    2.57    4.79    3.45    9.23    6.07     12.6   0.20    0.80    0.00 +- 0.32     8.8    35.2   -0.40  -0.06    
NGC_6522       270.89196  -30.03397   7.29   0.21    1.04    0.17   851     60  2.14e+05   1.13e+04    8.28   0.03   2.46   0.15   0.39    2.48     3.15    15.36    4.62    2.91    4.61    3.61    8.85    6.40      2.6   0.43    0.78    0.25 +- 0.21     8.2    32.4   -0.35  -0.09
NGC_6535       270.96045   -0.29764   6.36   0.12    4.04    0.02    29    268  1.98e+04   1.93e+03   10.10   0.04   2.38   0.25   0.20    2.70     3.43    24.70    4.13    1.77    3.87    2.50    8.44    5.77      0.8   0.29    0.79    1.13 +- 0.18     2.5    10.2   -0.35  -0.11    
NGC_6528       271.20670  -30.05578   7.83   0.24    0.70    0.10   286     30  9.44e+04   9.14e+03    9.71   0.10   2.97   0.40   0.27    2.45     5.01    10.98    4.43    1.96    4.27    2.85    9.03    6.33      1.1   0.52    0.84   -0.26 +- 0.22     4.6    19.0   -0.40  -0.07    
NGC_6539       271.20728   -7.58586   8.16   0.39    3.09    0.07   123    528  2.15e+05   1.62e+04    9.94   0.04   1.97   0.16   1.39    3.69     5.16    44.86    3.22    2.27    3.77    3.20    9.26    5.86     13.9   0.59    0.83   -0.65 +- 0.17     6.0    22.5   -0.31  -0.10
NGC_6540       271.53566  -27.76529   5.91   0.27    2.34    0.25    16      8  5.62e+04   3.68e+03    9.74   0.11   2.27   0.27   0.09    2.65     4.49    22.71    5.37    1.87    4.62    2.75    8.93    5.86      2.0   0.30    0.76   -1.24 +- 0.29     3.8    15.1   -0.40  -0.11    
VVV-CL160      271.73750  -20.01111   6.80   0.50    1.91    0.31    13      0  5.28e+04   2.19e+04   15.60   0.50   2.53   1.60   0.81    3.28     4.50    19.52    3.15    1.84    3.47    2.72    8.90    5.84      2.1  99.90   99.90   -0.12 +- 0.30     3.2    12.8   -0.35  -0.12    
NGC_6541       272.00983  -43.71489   7.61   0.10    2.19    0.01  7336   4372  2.57e+05   3.29e+03    6.61   0.04   1.53   0.06   0.11    2.29     3.81    37.42    6.47    2.75    5.45    3.53    9.12    5.97     12.8   0.26    0.73   -0.75 +- 0.16     9.2    37.3   -0.39  -0.13
NGC_6544       271.83383  -24.99822   2.58   0.06    5.62    0.06    83    382  8.15e+04   5.65e+03    7.86   0.23   2.30   0.52   0.20    1.54     2.24    47.75    5.42    2.94    4.86    3.49    8.39    6.02      1.9   0.38    0.82   -0.49 +- 0.19     6.3    25.2   -0.37  -0.08    
2MASS-GC01     272.09085  -19.82972   3.37   0.62    4.90    0.57     2      0  4.11e+04          0    27.7      0   1.80      0   0.18    3.99     5.98    30.44    5.44    1.38    4.48    2.35    9.04    5.37      5.8  99.90   99.90   -0.36 +- 0.30     2.8    11.2   -0.37  -0.10    
ESO_280-SC06   272.27500  -46.42333  20.95   0.65   13.41    0.62    18      0  4.01e+04   1.65e+04   12.23   0.20   5.29   2.39   2.46    7.02     9.69    76.05    1.67    0.73    2.50    1.94    9.36    5.54      3.4  99.90   99.90   -0.40 +- 0.30     1.8     6.8   -0.30  -0.08    
NGC_6553       272.32299  -25.90807   5.33   0.13    2.93    0.12   521   1022  2.29e+05   8.94e+03    8.04   0.06   2.59   0.18   0.52    2.30     2.88    47.83    4.37    3.06    4.51    3.72    8.80    5.86     17.9   0.53    0.84   -0.17 +- 0.20     8.5    32.8   -0.37  -0.12
2MASS-GC02     272.40210  -20.77889   5.50   0.44    2.91    0.37     7      0  1.56e+04          0    24.6      0   1.80      0   0.62    2.22     2.85    15.70    3.04    1.91    3.25    2.57    8.21    6.00      0.4  99.90   99.90    0.50 +- 0.30     2.2     8.4   -0.33  -0.10    
NGC_6558       272.57397  -31.76451   7.79   0.18    0.93    0.06    25   1218  3.13e+04   9.61e+02    9.66   0.06   1.27   0.08   0.15    1.54     1.96     8.94    4.83    2.69    4.42    3.19    8.09    6.20      0.5   0.37    0.80    1.53 +- 0.15     4.1    16.7   -0.38  -0.15    
IC_1276        272.68444   -7.20760   4.55   0.25    4.34    0.17    33    300  7.43e+04   6.96e+03    9.92   0.06   1.81   0.20   0.87    3.20     4.98    37.75    3.20    1.86    3.56    2.76    9.04    5.45     11.3  99.90   99.90   -0.51 +- 0.30     3.7    14.3   -0.36  -0.12    
Ter_12         273.06583  -22.74194   5.17   0.38    3.17    0.34    15    198  3.76e+04   8.67e+03   13.82   0.11   1.59   0.40   0.66    1.78     2.71    24.89    3.50    2.38    3.66    3.04    8.41    5.58      2.7   0.58    0.95   -1.31 +- 0.35     3.3    13.1   -0.35  -0.14    
NGC_6569       273.41167  -31.82689  10.53   0.26    2.59    0.23   164    150  2.29e+05   2.10e+04    8.90   0.04   2.17   0.21   0.89    2.60     3.46    42.91    3.80    2.82    4.17    3.57    8.95    5.96     11.0   0.56    0.82    0.24 +- 0.26     7.6    28.4   -0.32  -0.12
BH_261         273.52750  -28.63500   6.12   0.26    2.20    0.23     5     22  2.38e+04   5.68e+03   11.26   0.04   8.52   2.06   0.36    2.94     4.45    20.63    3.48    1.52    3.48    2.41    8.79    5.69      1.3   0.40    0.79   -2.35 +- 0.32     2.2     9.1   -0.37  -0.14    
NGC_6584       274.65665  -52.21578  13.61   0.17    6.99    0.15    28    839  1.15e+05   5.07e+03    8.76   0.03   1.51   0.08   1.16    3.47     5.37    59.45    3.09    1.95    3.57    2.89    9.22    5.60     13.4   0.30    0.78   -0.80 +- 0.13     4.4    16.7   -0.37  -0.12    
NGC_6624       275.91879  -30.36103   8.02   0.11    1.20    0.01  2552   2526  1.03e+05   1.89e+03    8.03   0.07   1.37   0.09   0.19    1.70     2.25    16.82    5.25    3.02    4.85    3.58    8.40    6.41      0.9   0.28    0.82    0.66 +- 0.16     7.0    28.0   -0.35  -0.06
NGC_6626       276.13704  -24.86985   5.37   0.10    3.02    0.09   199    365  2.70e+05   1.74e+04    6.85   0.06   1.94   0.16   0.32    1.61     2.33    47.42    4.98    3.41    4.90    3.98    8.72    6.22      5.4   0.19    0.78   -0.18 +- 0.18    10.4    41.1   -0.38  -0.11
NGC_6637       277.84625  -32.34808   8.90   0.10    1.71    0.05    69   3720  1.38e+05   2.47e+03    7.62   0.04   1.53   0.06   0.57    2.41     3.19    24.20    4.02    2.71    4.20    3.42    8.78    6.30      1.8   0.26    0.86    0.10 +- 0.19     6.3    24.3   -0.34  -0.10    
NGC_6638       277.73373  -25.49747   9.78   0.34    2.30    0.25    12     90  1.24e+05   2.29e+04    8.79   0.10   1.56   0.32   0.48    1.84     2.28    29.05    4.26    3.10    4.36    3.66    8.49    6.47      1.1   0.42    0.82    0.71 +- 0.22     7.0    26.7   -0.35  -0.09    
NGC_6642       277.97596  -23.47560   8.05   0.20    1.66    0.01    26   1099  3.95e+04   1.27e+03    9.65   0.05   1.40   0.08   0.11    1.37     1.73    16.22    5.24    2.96    4.71    3.40    8.04    6.53      0.3   0.32    0.80    1.00 +- 0.15     5.0    20.0   -0.37  -0.12    
NGC_6652       278.94012  -32.99072   9.46   0.14    2.18    0.09    49    902  4.09e+04   1.54e+03    8.92   0.04   1.53   0.08   0.17    1.46     1.85    17.70    4.82    2.89    4.48    3.36    8.10    6.33      0.5   0.26    0.83    0.84 +- 0.17     4.8    19.1   -0.37  -0.11    
NGC_6656       279.09976  -23.90475   3.30   0.04    5.00    0.03  6324   5434  4.70e+05   5.77e+03    5.06   0.04   2.02   0.08   0.88    3.18     5.21    76.82    4.02    2.60    4.35    3.52    9.49    6.04     47.3   0.18    0.74   -0.90 +- 0.15     9.1    35.5   -0.39  -0.09
Pal_8          280.37729  -19.82886  11.32   0.63    4.09    0.51    13    224  7.13e+04   1.53e+04   10.11   0.10   2.90   0.68   1.88    3.46     6.14    36.97    2.38    1.57    3.07    2.58    9.18    5.84      3.2  99.90   99.90   -0.23 +- 0.30     3.2    11.7   -0.30  -0.11    
NGC_6681       280.80316  -32.29211   9.36   0.11    2.29    0.06  1853   2228  1.05e+05   2.12e+03    7.91   0.04   1.68   0.07   0.07    2.16     3.04    27.47    6.03    2.66    5.19    3.34    8.71    5.97      3.4   0.23    0.78   -0.17 +- 0.13     6.5    25.3   -0.38  -0.13    
RLGC_2         281.36737   -5.19258  15.85   2.20    9.40    1.94     0     24  2.68e+05          0    13.9      0   1.80      0   0.32    3.33     5.00    96.06    5.87    2.41    5.03    3.31    9.30    3.68      6.5  99.90   99.90   -0.60 +- 0.30     7.6    30.4   -0.38  -0.08    
NGC_6712       283.26802   -8.70596   7.38   0.24    3.55    0.01   216    350  9.50e+04   7.08e+03    8.60   0.03   1.56   0.12   0.67    2.55     3.50    33.25    3.68    2.42    3.92    3.18    8.82    6.15      1.7   0.35    0.84   -0.24 +- 0.17     4.9    19.2   -0.35  -0.13
NGC_6715       283.76385  -30.47986  26.28   0.33   18.51    0.31  1600   2720  1.59e+06   2.84e+04    7.57   0.06   1.87   0.11   0.55    3.58     5.78   279.15    5.17    2.99    5.17    3.95    9.76    6.47    613.5   0.52    0.80   -1.42 +- 0.19    17.2    68.9   -0.35  -0.04
NGC_6717       283.77518  -22.70147   7.52   0.13    2.38    0.02    28    372  2.63e+04   1.86e+03    8.98   0.03   1.14   0.09   0.29    2.63     3.26    17.82    3.95    1.95    3.83    2.67    8.44    5.97      0.7   0.30    0.79    1.47 +- 0.18     2.9    11.6   -0.38  -0.09    
NGC_6723       284.88812  -36.63225   8.27   0.10    2.47    0.02   493   4035  1.97e+05   3.66e+03    7.21   0.04   2.24   0.09   1.48    3.64     5.07    38.54    3.13    2.26    3.71    3.18    9.23    5.88     11.4   0.23    0.79   -0.33 +- 0.14     5.9    21.5   -0.29  -0.12
NGC_6749       286.31406    1.89976   7.59   0.21    4.94    0.04    17     44  2.05e+05   4.11e+04   10.91   0.06   1.35   0.28   1.48    4.17     6.10    62.96    3.06    2.04    3.64    3.04    9.40    5.85     11.3  99.90   99.90   -0.71 +- 0.30     5.4    20.5   -0.35  -0.10    
NGC_6752       287.71710  -59.98455   4.12   0.04    5.30    0.02  7639   3855  2.61e+05   3.34e+03    5.35   0.05   2.21   0.11   0.30    2.86     4.75    66.41    5.07    2.47    4.75    3.35    9.30    5.84     27.1   0.14    0.78   -0.67 +- 0.13     7.7    31.3   -0.39  -0.11
NGC_6760       287.80027    1.03047   8.41   0.43    5.17    0.14    89    338  2.86e+05   2.56e+04    8.89   0.05   1.91   0.19   1.08    3.35     5.74    73.42    3.52    2.29    3.98    3.25    9.34    5.93     18.9   0.67    0.85   -0.12 +- 0.18     6.6    25.6   -0.30  -0.06    
NGC_6779       289.14819   30.18347  10.43   0.14    9.91    0.09   101    733  1.66e+05   7.57e+03    8.15   0.05   1.55   0.10   0.98    2.96     4.42    92.17    3.48    2.36    3.89    3.22    9.11    5.85      9.7   0.31    0.77   -0.56 +- 0.15     5.8    21.9   -0.35  -0.13
Ter_7          289.43298  -34.65772  24.28   0.49   16.85    0.47    45      0  2.23e+04   3.82e+03   11.85   0.04   2.00   0.35   3.96    6.34    12.18    62.04    0.94    0.17    1.94    1.47    9.51    4.72     25.5   0.35    1.04   -1.62 +- 0.14     1.3     4.6   -0.29  -0.12    
Pal_10         289.50873   18.57167   8.94   1.18    7.60    0.59    12    294  1.25e+05   2.10e+04   12.37   0.03   1.45   0.25   2.23    4.03     6.91    63.38    2.41    1.66    3.18    2.74    9.39    5.50     32.4  99.90   99.90   -0.74 +- 0.30     3.9    14.6   -0.29  -0.09    
Arp_2          292.18381  -30.35564  28.73   0.34   21.39    0.33    49      0  3.87e+04   6.43e+03   11.65   0.04   1.89   0.32   8.33   14.21    19.34    87.04    0.36   -0.19    1.67    1.32    9.85    4.96     44.2   0.41    0.80   -0.75 +- 0.14     1.3     4.5   -0.22  -0.06
NGC_6809       294.99878  -30.96475   5.35   0.05    4.01    0.03   542   1564  1.97e+05   5.52e+03    6.29   0.03   2.10   0.08   2.49    4.60     6.78    52.03    2.54    1.88    3.34    2.94    9.50    5.88     11.9   0.16    0.67   -0.93 +- 0.13     5.0    18.1   -0.32  -0.12
Ter_8          295.43503  -33.99947  27.54   0.42   20.43    0.40    73      0  7.59e+04   1.64e+04   11.05   0.03   2.19   0.48  10.04   15.17    21.24   108.21    0.44   -0.02    1.83    1.54   10.10    5.21     77.8   0.28    0.77   -1.14 +- 0.15     1.8     6.0   -0.21  -0.05
Pal_11         296.31000   -8.00722  14.02   0.51    8.70    0.41    13     18  1.42e+04   5.75e+03   11.86   0.03   1.50   0.61   4.10    6.10     9.75    32.78    0.81    0.26    1.83    1.49    9.17    5.04      3.4   0.71    0.85   -0.53 +- 0.41     1.1     4.0   -0.21  -0.11    
Sagittarius_II 298.16471  -22.06525  66.53   1.56   59.54    1.52    23      0  3.05e+04   5.53e+03   14.04   0.12   2.43   0.52  20.55   29.04    39.44   384.15   -0.85   -1.23    0.86    0.61   10.33    4.78    135.1   0.45    0.80   -1.52 +- 0.17     0.8     2.7   -0.13  -0.03    
NGC_6838       298.44373   18.77919   4.00   0.05    6.86    0.01   311   1308  3.78e+04   1.38e+03    7.16   0.03   0.99   0.05   1.07    3.32     4.81    40.95    2.72    1.61    3.17    2.51    8.90    5.24      7.8   0.25    0.82   -0.17 +- 0.15     2.6    10.2   -0.37  -0.12
