#Cluster          RA        DEC      R_Sun    DR     R_GC    DR   N_RV   N_PM    Mass         DM         V     DV   M/L_V   DM/L    rc     rh,l     rh,m     rt    rho_c  rho_h,m   sig_c   sig_h,m lg Trh  lg Mini  T_Diss  M_Low  M_High       MF          sig0    vesc    etac   etah
# Name                               [kpc]  [kpc]   [kpc]  [kpc]                [Msun]      [Msun]        [mag]      [Msun/Lsun]   [pc]    [pc]     [pc]    [pc]  [Ms/pc3][Ms/pc3] [Ms/pc2] [Ms/pc2] [yr]   [Msun]   [Gyr]  [Msun]  [Msun]      Slope      [km/s]  [km/s]               
#  (1)            (2)       (3)       (4)     (5)    (6)     (7)  (8)    (9)     (10)        (11)      (12)   (13)   (14)   (15)   (16)    (17)     (18)    (19)     (20)    (21)    (22)    (23)    (24)    (25)     (26)   (27)    (28)    (30)    (32)    (33)    (34)    (35)   (36)
Pal_4          172.31833   28.97337 101.39   2.57  104.05    2.47    23      0  1.53e+04   2.81e+03   14.23   0.04   0.81   0.15  10.96   15.88    21.12   207.54   -0.35   -0.71    1.09    0.85    9.70    4.47    152.6   0.59    0.82   -0.34 +- 0.27     0.8     2.6   -0.18  -0.09    
Crater         174.06875  -10.87697 147.23   4.27  147.00    4.12    33      0  1.21e+04   2.38e+03   15.74   0.11   1.29   0.29  13.66   19.56    27.62   245.78   -0.75   -1.15    0.78    0.52    9.93    4.37    131.6   0.65    0.94   -1.52 +- 0.23     0.6     2.0   -0.11  -0.03    
NGC_4147       182.52626   18.54264  18.54   0.21   20.74    0.19    41      0  4.51e+04   1.09e+04   10.29   0.04   1.89   0.46   0.43    2.53     3.47    93.73    3.89    2.12    3.88    2.86    8.61    5.47      4.8   0.20    0.77   -0.05 +- 0.13     3.6    14.2   -0.40  -0.11    
NGC_4372       186.43910  -72.65908   5.71   0.21    7.22    0.04   199   1846  1.89e+05   6.95e+03    7.37   0.05   1.98   0.12   3.55    5.77     8.34    74.01    2.12    1.59    3.08    2.74    9.63    5.75     20.5   0.16    0.77   -0.86 +- 0.18     4.4    15.5   -0.29  -0.11
Rup_106        189.66750  -51.15028  20.71   0.36   18.04    0.32    31     64  3.40e+04   5.82e+03   11.05   0.03   1.38   0.24   5.03    7.62    11.14    73.48    0.95    0.47    2.06    1.75    9.48    5.10     10.9   0.22    0.81   -0.81 +- 0.14     1.6     5.6   -0.22  -0.09    
NGC_4590       189.86658  -26.74406  10.40   0.10   10.35    0.07   262    861  1.28e+05   5.95e+03    7.99   0.04   1.89   0.11   1.86    4.44     7.27    78.28    2.59    1.60    3.27    2.67    9.48    5.46     55.1   0.18    0.77   -1.17 +- 0.14     4.0    14.8   -0.33  -0.11
BH_140         193.47292  -67.17728   4.81   0.25    6.86    0.01    24    590  6.12e+04   5.06e+03    9.14   0.12   2.55   0.35   4.81    6.22     9.73    51.77    1.31    0.90    2.40    2.14    9.48    5.51      6.2  99.90   99.90   -0.57 +- 0.30     2.3     8.1   -0.18  -0.09    
NGC_4833       194.89134  -70.87650   6.48   0.08    7.13    0.02   176   2853  1.86e+05   4.11e+03    7.19   0.03   1.57   0.06   1.27    3.26     4.58    77.06    3.29    2.37    3.80    3.24    9.15    6.01      6.4   0.24    0.77   -0.34 +- 0.15     6.0    22.2   -0.31  -0.10
NGC_5024       198.23021   18.16817  18.50   0.18   19.00    0.16   338   4130  5.02e+05   8.48e+03    7.70   0.04   1.95   0.08   1.87    6.46    10.03   183.04    3.10    1.77    3.76    2.98    9.93    6.00    150.0   0.26    0.78   -1.20 +- 0.11     6.8    25.9   -0.33  -0.04
NGC_5053       199.11288   17.70025  17.54   0.23   18.01    0.20    55     48  6.28e+04   1.43e+04    9.92   0.04   2.16   0.50   9.20   12.40    17.00    91.64    0.52    0.18    1.88    1.66    9.89    5.21     31.1   0.23    0.78   -1.09 +- 0.14     1.8     6.0   -0.12  -0.07
NGC_5139       201.69699  -47.47947   5.43   0.05    6.50    0.01  4593  55653  3.94e+06   1.67e+04    3.50   0.04   2.80   0.10   4.30    7.56    10.42   208.60    3.23    2.62    4.24    3.87   10.32    6.90    129.0   0.17    0.80   -0.80 +- 0.11    18.0    62.2   -0.19  -0.01
NGC_5272       205.54842   28.37728  10.18   0.08   12.09    0.06   727   4231  4.09e+05   6.89e+03    6.39   0.04   1.61   0.07   0.98    3.40     5.47   129.25    3.78    2.48    4.19    3.42    9.50    5.93     76.1   0.17    0.77   -1.01 +- 0.12     8.2    32.0   -0.40  -0.10
NGC_5286       206.61171  -51.37425  11.10   0.14    8.46    0.09  1704   1892  4.24e+05   9.31e+03    7.35   0.03   1.77   0.06   0.49    2.37     3.58    95.48    4.61    3.05    4.72    3.80    9.15    6.12     13.5   0.37    0.75   -0.72 +- 0.16    10.7    41.8   -0.36  -0.10
AM_4           209.08907  -27.16517  29.01   0.94   24.58    0.87    14      0  7.46e+02   1.49e+02   16.49   0.05   3.59   0.74   2.12    6.46    11.29    28.85    0.06   -1.21    0.80    0.06    8.78    4.02      2.1   0.39    0.88   -2.79 +- 0.41     0.2     0.9   -0.23  -0.07    
NGC_5466       211.36371   28.53444  16.12   0.16   16.48    0.14    68    722  5.61e+04   7.55e+03    9.32   0.03   1.35   0.19   6.15    9.55    13.75    76.70    0.90    0.41    2.09    1.78    9.75    5.20     22.6   0.21    0.78   -0.86 +- 0.12     1.9     6.5   -0.21  -0.10
NGC_5634       217.40533   -5.97643  25.96   0.62   21.84    0.57    50     84  2.47e+05   4.77e+04    9.51   0.07   2.37   0.48   0.61    4.57     7.72   192.53    4.01    1.81    4.16    2.89    9.63    5.78     34.5  99.90   99.90   -0.93 +- 0.30     5.9    24.2   -0.39  -0.08    
NGC_5694       219.90125  -26.53878  34.84   0.74   29.16    0.70   136      0  2.69e+05   2.47e+04    9.86   0.12   1.79   0.26   0.02    3.08     4.35   228.62    7.30    2.60    5.99    3.43    9.13    5.74    303.2   0.62    0.78   -0.88 +- 0.33     9.3    33.6   -0.36  -0.06
IC_4499        225.07719  -82.21379  18.89   0.25   15.75    0.22    68    134  1.50e+05   2.52e+04    9.84   0.05   2.21   0.38   5.02   10.26    14.96   110.32    1.47    0.75    2.58    2.14    9.97    5.53     48.9   0.28    0.81   -1.22 +- 0.15     2.9    10.5   -0.24  -0.04    
